"Sample","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher","Pielou","Coverage","sampleid","Location","Salinity"
"W_BIL_ST8_2025NOV_02",892,892,0,892,12.8936230631684,4.93218829216233,0.97752338836959,44.4906917663273,118.877765867738,0.726019412757298,1,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"W_BIL_ST9_2025NOV_01",776,776,0,776,8.87651540714012,4.85505849586345,0.974713144734653,39.5462381346557,100.413005687811,0.72962837583557,1,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"W_BIL_ST9_2025NOV_02",841,841,0,841,13.2999780962333,4.98090324868681,0.983289689544433,59.8432927179293,114.447832740082,0.739599889669749,1,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"W_PAS_ST1_2025NOV_01",1692,1692,0,1692,20.3301939211109,5.21998617298185,0.982300138089848,56.4976159179191,260.245740781291,0.702208815095056,1,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"W_PAS_ST1_2025NOV_02",1875,1875.01333333333,0.118893123179568,1875.3766353111,21.2909347953623,5.38723786769661,0.985360587147664,68.3087505002236,285.443499701102,0.714832499030974,0.999990151761358,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"W_PAS_ST10_2025NOV_01",1454,1454,0,1454,6.7439411903235,5.87598839209717,0.99089716876408,109.855930982659,201.641691694422,0.806911419464491,1,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"W_PAS_ST10_2025NOV_02",1713,1713,0,1713,18.3432282377804,5.86777378036608,0.991702378978365,120.516470611598,247.979808157452,0.788043593825054,1,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"W_PAS_ST2_2025NOV_01",1771,1771,0,1771,20.8047306004801,5.33912792297868,0.983637164684335,61.1141028256058,269.506428687672,0.713853994564846,1,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"W_PAS_ST2_2025NOV_02",1741,1741,0,1741,20.6340895588873,5.38816447438535,0.984612312504464,64.9870229227175,268.911571483312,0.722059672346122,1,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"W_PAS_ST3_2025NOV_01",1588,1588,0,1588,19.4177202302965,5.21576717725517,0.978226404687485,45.9271877541145,233.59326540104,0.707680319754055,1,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"W_PAS_ST3_2025NOV_02",1999,1999,0,1999,21.9957019768119,5.36753464305345,0.98034828067995,50.8861328474062,297.268552062718,0.706217172042153,1,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"W_PAS_ST4_2025NOV_01",1959,1959,0,1959,21.7721741009993,5.2812707927874,0.979778955828264,49.4534303721938,283.388213796493,0.696720161145984,1,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST4_2025NOV_02",2014,2014,0,2014,22.0894633088963,5.34887404022693,0.982025684029916,55.6349405264904,291.512016545777,0.703070421043421,1,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST5_2025NOV_01",1782,1782,0,1782,20.3724027146561,5.32972151761914,0.984318408680874,63.7690384636112,246.277068816382,0.712006879000598,1,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST5_2025NOV_02",1745,1745,0,1745,20.0072479703408,5.36846949445688,0.984712661823101,65.4136114756125,244.271114280617,0.719199199061446,1,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST6_2025NOV_01",1508,1508,0,1508,18.8862819147214,4.87243279489673,0.969160204710333,32.4256367659821,206.444448637188,0.665765725874936,1,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST6_2025NOV_02",1373,1373,0,1373,18.2097514354696,5.06219283370869,0.978455795145355,46.4161943662723,195.601009343013,0.700673441624627,1,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST7_2025NOV_01",1549,1549,0,1549,18.8338184626088,5.22648743019444,0.982306862964248,56.5190897453235,215.464521430825,0.711535443608792,1,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST7_2025NOV_02",1720,1720,0,1720,19.6799833380531,5.18617504727359,0.981244368960244,53.3173209624515,234.448695972356,0.696123443874519,1,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"W_PAS_ST8_2025NOV_01",1785,1785.01785714286,0.138915439450488,1785.37430012987,20.3147266074789,5.34780975387056,0.982044005286323,55.6917071956099,251.818736311636,0.714262814285112,0.999993365048402,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"W_PAS_ST8_2025NOV_02",1806,1806,0,1806,20.1149520427234,5.29368369838617,0.98058359127104,51.5028301041319,252.566551756581,0.705930878409689,1,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"W_PAS_ST9_2025NOV_01",66,66,0,66,1.39262124764558,3.73132925833671,0.963362035228209,27.294092513838,7.73876081592302,0.890605428869293,1,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"W_PAS_ST9_2025NOV_02",1946,1946,0,1946,20.3997687551128,5.75521408985512,0.98916915255228,92.3288786798019,280.36891854794,0.759911577597218,1,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
