Location,Subcommunity,TaxRank,Slope,R2,Spearman_rho,Spearman_p,Mantel_r,Mantel_p,Mantel_q
Biloxi Bay,Rare,Class,0.004093481680555838,0.13038156985409174,0.4607464607464608,0.00468525505676048,0.4607464607464608,0.0132,0.0216
Biloxi Bay,Rare,Family,0.005185473153125488,0.024419777515176936,0.25431145431145435,0.13445821630201577,0.25431145431145435,0.0729,0.09514285714285714
Biloxi Bay,Rare,Genus,0.005539469810547735,0.012798422524008974,0.22548262548262551,0.18608395106214304,0.22548262548262551,0.0969,0.11252903225806453
Biloxi Bay,Rare,Order,0.00368914250815535,0.02572201307059148,0.26203346203346206,0.1226291854537603,0.26203346203346206,0.0664,0.09514285714285714
Biloxi Bay,Rare,Phylum,0.00417425360663102,0.12014914197071576,0.4360360360360361,0.00785138858112628,0.4360360360360361,0.0232,0.03631304347826087
Pascagoula Bay,Abundant,ASV,0.03610523986862608,0.48625194370550184,0.6832674571805005,2.3166051218780356e-7,0.6832674571805005,1e-4,2.5714285714285715e-4
Pascagoula Bay,Abundant,Class,0.014781973999998574,0.25091533711131137,0.5238471673254281,2.216181392764649e-4,0.5238471673254281,0.0066,0.01188
Pascagoula Bay,Abundant,Family,0.046897988288001874,0.7203171472471304,0.8723320158102765,5.970503545304786e-15,0.8723320158102765,1e-4,2.5714285714285715e-4
Pascagoula Bay,Abundant,Genus,0.04992158482418983,0.7322460708193745,0.8704874835309616,7.972863942552711e-15,0.8704874835309616,1e-4,2.5714285714285715e-4
Pascagoula Bay,Abundant,Order,0.026072392884504556,0.36874046949405886,0.5797101449275361,3.0046560571647054e-5,0.5797101449275361,0.0019,0.004023529411764706
Pascagoula Bay,Abundant,Phylum,0.014163911409876197,0.22408548389322788,0.4707509881422924,0.0011003638843939867,0.4707509881422924,0.0121,0.020742857142857143
Pascagoula Bay,CRT,ASV,0.033913187546747714,0.8135065443998568,0.920026350461133,4.18417422561644e-19,0.920026350461133,1e-4,2.5714285714285715e-4
Pascagoula Bay,CRT,Class,0.012890194721713762,0.7280596069713524,0.840052700922266,5.417373591888029e-13,0.840052700922266,1e-4,2.5714285714285715e-4
Pascagoula Bay,CRT,Family,0.031846057242458654,0.8676964915315497,0.9245059288537547,1.2680473106678088e-19,0.9245059288537547,1e-4,2.5714285714285715e-4
Pascagoula Bay,CRT,Genus,0.034350687571535164,0.7998214410415171,0.8957839262187087,9.686968996463261e-17,0.8957839262187087,1e-4,2.5714285714285715e-4
Pascagoula Bay,CRT,Order,0.023303539976369258,0.791321659185302,0.8599472990777337,3.840621153117286e-14,0.8599472990777337,1e-4,2.5714285714285715e-4
Pascagoula Bay,CRT,Phylum,0.011849443542244513,0.6302599641699449,0.775494071146245,3.96896410355976e-10,0.775494071146245,1e-4,2.5714285714285715e-4
Pascagoula Bay,Rare,ASV,0.018093591414356142,0.8549050299691006,0.9171277997364953,8.73443274174567e-19,0.9171277997364953,1e-4,2.5714285714285715e-4
Pascagoula Bay,Rare,Class,0.011969035723794659,0.4145798167125476,0.7108036890645585,4.4809945976286755e-8,0.7108036890645585,1e-4,2.5714285714285715e-4
Pascagoula Bay,Rare,Family,0.029476707398548213,0.8374862880282451,0.9220026350461131,2.4928239516184417e-19,0.9220026350461131,1e-4,2.5714285714285715e-4
Pascagoula Bay,Rare,Genus,0.0349905216503182,0.8420846861901538,0.9179183135704874,7.1652841157944e-19,0.9179183135704874,1e-4,2.5714285714285715e-4
Pascagoula Bay,Rare,Order,0.019944589276964804,0.7377076394607033,0.8747035573122528,4.089194084860236e-15,0.8747035573122528,1e-4,2.5714285714285715e-4
Pascagoula Bay,Rare,Phylum,0.011883479229320187,0.3902372413634661,0.687220026350461,1.8501372964804835e-7,0.687220026350461,2e-4,4.8e-4
