"","Sample","Measure","Value","sampleid","Location","Salinity"
"53","W_BIL_ST9_2025NOV_01","Chao1",2048,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"54","W_BIL_ST9_2025NOV_02","Chao1",2162,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"55","W_PAS_ST1_2025NOV_01","Chao1",3209,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"56","W_PAS_ST1_2025NOV_02","Chao1",2570,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"57","W_PAS_ST10_2025NOV_01","Chao1",2484,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"58","W_PAS_ST10_2025NOV_02","Chao1",2402,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"59","W_PAS_ST2_2025NOV_01","Chao1",3005,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"60","W_PAS_ST2_2025NOV_02","Chao1",2993,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"61","W_PAS_ST3_2025NOV_01","Chao1",2773,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"62","W_PAS_ST3_2025NOV_02","Chao1",2862,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"63","W_PAS_ST4_2025NOV_01","Chao1",3220,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"64","W_PAS_ST4_2025NOV_02","Chao1",2228,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"65","W_PAS_ST5_2025NOV_01","Chao1",2771,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"66","W_PAS_ST5_2025NOV_02","Chao1",2356,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"67","W_PAS_ST6_2025NOV_01","Chao1",2494,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"68","W_PAS_ST6_2025NOV_02","Chao1",2520,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"69","W_PAS_ST7_2025NOV_01","Chao1",2601,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"70","W_PAS_ST7_2025NOV_02","Chao1",2598,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"71","W_PAS_ST8_2025NOV_01","Chao1",2111,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"72","W_PAS_ST8_2025NOV_02","Chao1",2199,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"73","W_PAS_ST9_2025NOV_01","Chao1",535,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"74","W_PAS_ST9_2025NOV_02","Chao1",2587,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
"75","W_BIL_ST1_2025NOV_01","ACE",1523,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"76","W_BIL_ST1_2025NOV_02","ACE",1942,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"77","W_BIL_ST2_2025NOV_01","ACE",1693,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"78","W_BIL_ST2_2025NOV_02","ACE",1935.29964670589,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"79","W_BIL_ST3_2025NOV_01","ACE",1838,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"80","W_BIL_ST3_2025NOV_02","ACE",1694,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"81","W_BIL_ST4_2025NOV_01","ACE",1839,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Freshwater"
"82","W_BIL_ST5_2025NOV_01","ACE",2210,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"83","W_BIL_ST5_2025NOV_02","ACE",2251,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"84","W_BIL_ST6_2025NOV_01","ACE",1909.20875630311,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"85","W_BIL_ST6_2025NOV_02","ACE",1934,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"86","W_BIL_ST7_2025NOV_01","ACE",1646,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"87","W_BIL_ST7_2025NOV_02","ACE",1929,"W_BIL_ST7_2025NOV_02","Biloxi Bay","High Salinity"
"88","W_BIL_ST8_2025NOV_01","ACE",2115,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"89","W_BIL_ST8_2025NOV_02","ACE",2232,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"90","W_BIL_ST9_2025NOV_01","ACE",2048,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"91","W_BIL_ST9_2025NOV_02","ACE",2162,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"92","W_PAS_ST1_2025NOV_01","ACE",3209.28240415834,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"93","W_PAS_ST1_2025NOV_02","ACE",2570.27822483723,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"94","W_PAS_ST10_2025NOV_01","ACE",2484,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"95","W_PAS_ST10_2025NOV_02","ACE",2402,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"96","W_PAS_ST2_2025NOV_01","ACE",3005,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"97","W_PAS_ST2_2025NOV_02","ACE",2993,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"98","W_PAS_ST3_2025NOV_01","ACE",2773,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"99","W_PAS_ST3_2025NOV_02","ACE",2862,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"100","W_PAS_ST4_2025NOV_01","ACE",3220,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"101","W_PAS_ST4_2025NOV_02","ACE",2228,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"102","W_PAS_ST5_2025NOV_01","ACE",2771,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"103","W_PAS_ST5_2025NOV_02","ACE",2356,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"104","W_PAS_ST6_2025NOV_01","ACE",2494.26444741928,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"105","W_PAS_ST6_2025NOV_02","ACE",2520.29130360714,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"106","W_PAS_ST7_2025NOV_01","ACE",2601,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"107","W_PAS_ST7_2025NOV_02","ACE",2598,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"108","W_PAS_ST8_2025NOV_01","ACE",2111,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"109","W_PAS_ST8_2025NOV_02","ACE",2199,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"110","W_PAS_ST9_2025NOV_01","ACE",535,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"111","W_PAS_ST9_2025NOV_02","ACE",2587,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
"112","W_BIL_ST1_2025NOV_01","Shannon",6.17212736472091,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"113","W_BIL_ST1_2025NOV_02","Shannon",6.23156981895288,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"114","W_BIL_ST2_2025NOV_01","Shannon",6.49136704503345,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"115","W_BIL_ST2_2025NOV_02","Shannon",6.60106122239411,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"116","W_BIL_ST3_2025NOV_01","Shannon",6.67430891212678,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"117","W_BIL_ST3_2025NOV_02","Shannon",6.56597842581928,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"118","W_BIL_ST4_2025NOV_01","Shannon",6.54957407002406,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Freshwater"
"119","W_BIL_ST5_2025NOV_01","Shannon",6.6171284733424,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"120","W_BIL_ST5_2025NOV_02","Shannon",6.64623838288925,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"121","W_BIL_ST6_2025NOV_01","Shannon",6.39882817675557,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"122","W_BIL_ST6_2025NOV_02","Shannon",6.52112551441049,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"123","W_BIL_ST7_2025NOV_01","Shannon",6.65493797703503,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"124","W_BIL_ST7_2025NOV_02","Shannon",6.68720252526952,"W_BIL_ST7_2025NOV_02","Biloxi Bay","High Salinity"
"125","W_BIL_ST8_2025NOV_01","Shannon",6.78667770280859,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"126","W_BIL_ST8_2025NOV_02","Shannon",6.83307832650263,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"127","W_BIL_ST9_2025NOV_01","Shannon",6.75256048707256,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"128","W_BIL_ST9_2025NOV_02","Shannon",6.86513036837711,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"129","W_PAS_ST1_2025NOV_01","Shannon",7.21631268713221,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"130","W_PAS_ST1_2025NOV_02","Shannon",7.02725807063644,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"131","W_PAS_ST10_2025NOV_01","Shannon",7.21467735119996,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"132","W_PAS_ST10_2025NOV_02","Shannon",7.05074555983527,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"133","W_PAS_ST2_2025NOV_01","Shannon",6.8927022684725,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"134","W_PAS_ST2_2025NOV_02","Shannon",6.99951828410771,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"135","W_PAS_ST3_2025NOV_01","Shannon",6.5969487422307,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"136","W_PAS_ST3_2025NOV_02","Shannon",6.68264480751224,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"137","W_PAS_ST4_2025NOV_01","Shannon",6.84126516652105,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"138","W_PAS_ST4_2025NOV_02","Shannon",6.63826472381412,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"139","W_PAS_ST5_2025NOV_01","Shannon",6.76273171723196,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"140","W_PAS_ST5_2025NOV_02","Shannon",6.70828136067848,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"141","W_PAS_ST6_2025NOV_01","Shannon",6.49262200378687,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"142","W_PAS_ST6_2025NOV_02","Shannon",6.61600797894989,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"143","W_PAS_ST7_2025NOV_01","Shannon",6.67292908537678,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"144","W_PAS_ST7_2025NOV_02","Shannon",6.71588349440103,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"145","W_PAS_ST8_2025NOV_01","Shannon",6.52169466128509,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"146","W_PAS_ST8_2025NOV_02","Shannon",6.5230936190459,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"147","W_PAS_ST9_2025NOV_01","Shannon",5.78392076263929,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"148","W_PAS_ST9_2025NOV_02","Shannon",6.91580359139705,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
"149","W_BIL_ST1_2025NOV_01","Simpson",0.991272687857653,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"150","W_BIL_ST1_2025NOV_02","Simpson",0.990648879784675,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"151","W_BIL_ST2_2025NOV_01","Simpson",0.99609310798484,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"152","W_BIL_ST2_2025NOV_02","Simpson",0.996241287193115,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"153","W_BIL_ST3_2025NOV_01","Simpson",0.996236294798706,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"154","W_BIL_ST3_2025NOV_02","Simpson",0.996310121293676,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"155","W_BIL_ST4_2025NOV_01","Simpson",0.995420068862335,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Freshwater"
"156","W_BIL_ST5_2025NOV_01","Simpson",0.995125046745139,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"157","W_BIL_ST5_2025NOV_02","Simpson",0.99521396776711,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"158","W_BIL_ST6_2025NOV_01","Simpson",0.993046940486084,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"159","W_BIL_ST6_2025NOV_02","Simpson",0.994534269454325,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"160","W_BIL_ST7_2025NOV_01","Simpson",0.99683774938442,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"161","W_BIL_ST7_2025NOV_02","Simpson",0.996408314376404,"W_BIL_ST7_2025NOV_02","Biloxi Bay","High Salinity"
"162","W_BIL_ST8_2025NOV_01","Simpson",0.997058471867021,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"163","W_BIL_ST8_2025NOV_02","Simpson",0.997099652263055,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"164","W_BIL_ST9_2025NOV_01","Simpson",0.996649472681879,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"165","W_BIL_ST9_2025NOV_02","Simpson",0.997336170402303,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"166","W_PAS_ST1_2025NOV_01","Simpson",0.9976775634374,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"167","W_PAS_ST1_2025NOV_02","Simpson",0.997403181455216,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"168","W_PAS_ST10_2025NOV_01","Simpson",0.998386453524291,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
"169","W_PAS_ST10_2025NOV_02","Simpson",0.998063305427297,"W_PAS_ST10_2025NOV_02","Pascagoula Bay","High Salinity"
"170","W_PAS_ST2_2025NOV_01","Simpson",0.994976288498024,"W_PAS_ST2_2025NOV_01","Pascagoula Bay","Freshwater"
"171","W_PAS_ST2_2025NOV_02","Simpson",0.995802579904461,"W_PAS_ST2_2025NOV_02","Pascagoula Bay","Freshwater"
"172","W_PAS_ST3_2025NOV_01","Simpson",0.991317868680552,"W_PAS_ST3_2025NOV_01","Pascagoula Bay","Freshwater"
"173","W_PAS_ST3_2025NOV_02","Simpson",0.992375970831422,"W_PAS_ST3_2025NOV_02","Pascagoula Bay","Freshwater"
"174","W_PAS_ST4_2025NOV_01","Simpson",0.993643564794237,"W_PAS_ST4_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"175","W_PAS_ST4_2025NOV_02","Simpson",0.993629915128976,"W_PAS_ST4_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"176","W_PAS_ST5_2025NOV_01","Simpson",0.994450702027692,"W_PAS_ST5_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"177","W_PAS_ST5_2025NOV_02","Simpson",0.994653117295882,"W_PAS_ST5_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"178","W_PAS_ST6_2025NOV_01","Simpson",0.991372624894516,"W_PAS_ST6_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"179","W_PAS_ST6_2025NOV_02","Simpson",0.993187966437531,"W_PAS_ST6_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"180","W_PAS_ST7_2025NOV_01","Simpson",0.993528756163799,"W_PAS_ST7_2025NOV_01","Pascagoula Bay","Moderate Salinity"
"181","W_PAS_ST7_2025NOV_02","Simpson",0.994368828072902,"W_PAS_ST7_2025NOV_02","Pascagoula Bay","Moderate Salinity"
"182","W_PAS_ST8_2025NOV_01","Simpson",0.993187423334103,"W_PAS_ST8_2025NOV_01","Pascagoula Bay","High Salinity"
"183","W_PAS_ST8_2025NOV_02","Simpson",0.993286893638943,"W_PAS_ST8_2025NOV_02","Pascagoula Bay","High Salinity"
"184","W_PAS_ST9_2025NOV_01","Simpson",0.993614117478992,"W_PAS_ST9_2025NOV_01","Pascagoula Bay","High Salinity"
"185","W_PAS_ST9_2025NOV_02","Simpson",0.996544774326469,"W_PAS_ST9_2025NOV_02","Pascagoula Bay","High Salinity"
"186","W_BIL_ST1_2025NOV_01","InvSimpson",114.582815841743,"W_BIL_ST1_2025NOV_01","Biloxi Bay","Freshwater"
"187","W_BIL_ST1_2025NOV_02","InvSimpson",106.93905938255,"W_BIL_ST1_2025NOV_02","Biloxi Bay","Freshwater"
"188","W_BIL_ST2_2025NOV_01","InvSimpson",255.957931808656,"W_BIL_ST2_2025NOV_01","Biloxi Bay","Freshwater"
"189","W_BIL_ST2_2025NOV_02","InvSimpson",266.048525486803,"W_BIL_ST2_2025NOV_02","Biloxi Bay","Freshwater"
"190","W_BIL_ST3_2025NOV_01","InvSimpson",265.695623466024,"W_BIL_ST3_2025NOV_01","Biloxi Bay","Freshwater"
"191","W_BIL_ST3_2025NOV_02","InvSimpson",271.011618426972,"W_BIL_ST3_2025NOV_02","Biloxi Bay","Freshwater"
"192","W_BIL_ST4_2025NOV_01","InvSimpson",218.343894251196,"W_BIL_ST4_2025NOV_01","Biloxi Bay","Freshwater"
"193","W_BIL_ST5_2025NOV_01","InvSimpson",205.130172069414,"W_BIL_ST5_2025NOV_01","Biloxi Bay","Moderate Salinity"
"194","W_BIL_ST5_2025NOV_02","InvSimpson",208.94134250244,"W_BIL_ST5_2025NOV_02","Biloxi Bay","Moderate Salinity"
"195","W_BIL_ST6_2025NOV_01","InvSimpson",143.821579262859,"W_BIL_ST6_2025NOV_01","Biloxi Bay","Moderate Salinity"
"196","W_BIL_ST6_2025NOV_02","InvSimpson",182.958159324431,"W_BIL_ST6_2025NOV_02","Biloxi Bay","Moderate Salinity"
"197","W_BIL_ST7_2025NOV_01","InvSimpson",316.230470498775,"W_BIL_ST7_2025NOV_01","Biloxi Bay","Moderate Salinity"
"198","W_BIL_ST7_2025NOV_02","InvSimpson",278.42080426813,"W_BIL_ST7_2025NOV_02","Biloxi Bay","High Salinity"
"199","W_BIL_ST8_2025NOV_01","InvSimpson",339.959352687639,"W_BIL_ST8_2025NOV_01","Biloxi Bay","High Salinity"
"200","W_BIL_ST8_2025NOV_02","InvSimpson",344.786243132843,"W_BIL_ST8_2025NOV_02","Biloxi Bay","High Salinity"
"201","W_BIL_ST9_2025NOV_01","InvSimpson",298.460482501253,"W_BIL_ST9_2025NOV_01","Biloxi Bay","High Salinity"
"202","W_BIL_ST9_2025NOV_02","InvSimpson",375.39938773275,"W_BIL_ST9_2025NOV_02","Biloxi Bay","High Salinity"
"203","W_PAS_ST1_2025NOV_01","InvSimpson",430.582266962055,"W_PAS_ST1_2025NOV_01","Pascagoula Bay","Freshwater"
"204","W_PAS_ST1_2025NOV_02","InvSimpson",385.086590670256,"W_PAS_ST1_2025NOV_02","Pascagoula Bay","Freshwater"
"205","W_PAS_ST10_2025NOV_01","InvSimpson",619.752833311374,"W_PAS_ST10_2025NOV_01","Pascagoula Bay","High Salinity"
